FPS,Brightness,Contrast,Exposure,Gain,Saturation,WBBluU,WBRedV,Hue,Aperture,AutoExpos,AutoFocus,Backlight,ExpProgr,Mode,Distance,Score
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,44.073463629240294,0.6307131259647314
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,43.12472250080515,0.6648740037483771
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.78679249202808,0.708011536231077
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,53.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.917425583175955,0.6757610691786679
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,53.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.950686377064336,0.6180957493325876
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.9629868666496,0.6767081193203427
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.79664346505304,0.7090458764397793
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.0121272E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82250885262518,0.4230089779730977
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82304986329659,0.7088635409047872
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82054820356955,0.7152834700158013
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82515845170757,0.42646829897439387
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82525690780969,0.7074464877301303
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.790370978181414,0.7099135616010173
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81215133721039,0.7076388790934289
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.828280637076396,0.4209154115947624
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4.803536E7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82500468148224,0.7074278992290444
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.846060905876705,0.7144442752022364
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.78799483990921,0.4211205553701424
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81356342900397,0.7126520286106552
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.848335396410796,0.713076906807401
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82533612454726,0.7074727383309194
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.79413145614716,0.707744035582746
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82063914938801,0.7152848550667363
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82612556425202,0.7126828347408881
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.820939904709455,0.7152906520804615
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.850853065375894,0.7124257597379666
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.78971376471778,0.7071066183131596
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.867822521394565,0.7135151455763331
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84951290704281,0.4264376463915724
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.863226646009075,0.7135599835787149
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.86707372632197,0.7100899591723431
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.837404663449256,0.7125103795728757
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81843914802774,0.7088153791571198
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.88553535602995,0.6794366627856971
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84361863928028,0.7115467887474005
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.80954548992535,0.7148181197159711
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8216635367624,0.7095714856859489
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82526938431255,0.7074071866082554
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.79193535432192,0.7089713579626381
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.824694357895176,0.7131527467193252
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84889255529728,0.7131371882139116
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,-7.05740632E8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84860624195534,0.7130647250172389
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82123651745158,0.7096222097441995
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84073600414295,0.7038688449868958
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8530868914868,0.7066795412654078
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.791909976594674,0.7089581933675011
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.79395585301304,0.7076914723875292
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84856517871131,0.7130918241107413
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82476605051168,0.7131718222803788
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82413695661867,0.42223450102267557
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82507991661957,0.7074368029987609
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.847132347168184,0.7095394359108974
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.811324956647326,0.713346443712896
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.85181794386575,0.425796589920764
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81360329999943,0.42115758631508765
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81351562042494,0.7126603573225265
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8602122864261,0.7124233363158716
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81296024872911,0.7132319606580542
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.824761900814416,0.7131654765304455
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82425857520268,0.7131158968718995
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81636766387981,0.7069094254434892
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82039489810207,0.715299490865006
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82104566005842,0.7096539261633531
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.85949794425589,0.7104417399574166
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.97937943453643,0.6762554035724416
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.873121334256325,0.706905769719679
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.814468071024805,0.4260204606725551
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8133823979146,0.7126414081186233
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84499278938167,0.7152541796998789
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.86758121330354,0.7136628897642717
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.849669688924806,0.7130665731309023
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82270052704533,0.7087389811272716
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.80847881389873,0.7095796902691903
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.85074576691974,0.7124392769111452
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8503824609716,0.7115548802743973
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82829258492024,0.709977044532453
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.841567143752464,0.711437766923952
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.833132130912695,0.7103364327450891
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.85083873686821,0.714100069828798
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.8293271096159,0.7119607181485674
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.807682994427275,0.7125346374205175
